Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Primary system online,主系统已经启动…,,,,,,
NETMESSAGE:Primary system offline,主系统尚未启动…,,,,,,
NETMESSAGE:Security fence opened,安全门打开了...,,,,,,
NETMESSAGE:Biological labs research documents found !,找到了生化实验室的研究资料！,,,,,,
"NETMESSAGE:They're crazy ! They create those... things !!\nWell, we have to do our job, and protect their work !\n",他们疯了！他们创造了这些...怪物！！\n我们得履行我们的职责，保护他们的工作成果！\n,,,,,,
NETMESSAGE:We have some guys trapped inside\nand no more information about the situation,有些倒霉的家伙被困在里面了\n汇报完毕，所有情报就这些了。,,,,,,
"NETMESSAGE:Good luck men, we're staying here\nto secure the area !",祝你好运！我们就留在这儿守住这片区域了,,,,,,
NETMESSAGE:You have to enter the labs and save the NP's research files\nbefore the army is warned and kill all of us !,你得在敌人发现我们，把我们都杀了之前进入实验室，保护NP的研究文件！,,,,,,
NETMESSAGE:This thing... It's trying to control my... mind…,这怪物...它在控制我的...大脑！,,,,,,
NETMESSAGE:ARGH !,啊！,,,,,,
NETMESSAGE:You found a gazoline tank,你找到了汽油桶,,,,,,
NETMESSAGE:This generator need gazoline !,这台发电机需要汽油才能工作！,,,,,,
