Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
"NETMESSAGE:William T. Riker (radio): Riker here. Get me some yummy cheesecrab into the teleporter, and you shall be rewarded.",威廉·T·赖克（无线电）：这里是赖克。给我传送一些美味的芝士蟹进来，你将会得到奖励。,,,,,,
NETMESSAGE:The catacomb grate has been opened.,地下墓穴的栅栏已被打开。,,,,,,
NETMESSAGE:Castle teleporter shortcut has been opened!,城堡传送门捷径已开启！,,,,,,
NETMESSAGE:A tunnel underground has been discovered behind the spawn!,重生点后面发现了一条地下隧道！,,,,,,
NETMESSAGE:A tunnel underground has been discovered behind the spawn!,重生点后面发现了一条地下隧道！,,,,,,
NETMESSAGE:The forcefield has been shutdown!,力场已被关闭！,,,,,,
"NETMESSAGE:Captain Jean-Luc Picard: Picard to Enterprise, energize.",让-吕克·皮卡德舰长：皮卡德呼叫企业号，传送。,,,,,,
NETMESSAGE:Captain Jean-Luc Picard: I will make them pay for what they've done. I'll be in my quarters.,让-吕克·皮卡德舰长：我会让他们为所作所为付出代价。我要回舱房了。,,,,,,
NETMESSAGE:Captain Jean-Luc Picard: Zombies have taken Gordon Freeman's brain!,让-吕克·皮卡德舰长：僵尸夺走了戈登·弗里曼的大脑！,,,,,,
NETMESSAGE:Captain Jean-Luc Picard: I think you're the bravest men I've ever known.,让-吕克·皮卡德舰长：我认为你们是我所认识的最勇敢的人。,,,,,,
NETMESSAGE:Captain Jean-Luc Picard: Don't let them touch you!,让-吕克·皮卡德舰长：别让他们碰到你！,,,,,,
"NETMESSAGE:Captain Jean-Luc Picard: This is Captain Jean-Luc Picard of the federation starship, Enterprise. \nFind a way to shutdown this forcefield!",让-吕克·皮卡德舰长：我是联邦星舰企业号的让-吕克·皮卡德舰长。\n想办法关闭这个力场！,,,,,,
NETMESSAGE:You found a hidden Picard coin!,你发现了一枚隐藏的皮卡德金币！,,,,,,
NETMESSAGE:Bizzarrroo Trigger activated!... but it doesn't do anything :/,比扎罗触发器已激活！……但它什么也没做 :/,,,,,,
NETMESSAGE:Underground ladder discovered!,发现地下梯子！,,,,,,
NETMESSAGE:Soda can collected.,收集到汽水罐。,,,,,,
NETMESSAGE:Hamptin: You'll never get Gordon Freeman's brain. You should stop now before you really get hurt...,汉普廷：你永远也拿不到戈登·弗里曼的大脑。趁现在还来得及，赶紧收手吧……,,,,,,
NETMESSAGE:Power Crystal has been activated!,能量水晶已被激活！,,,,,,
NETMESSAGE:Hamptin: You'll never free Captain Picard. You should stop now before you really get hurt...,汉普廷：你永远也救不了皮卡德舰长。趁现在还来得及，赶紧收手吧……,,,,,,
NETMESSAGE:Picard coin found!,发现了皮卡德金币！,,,,,,
"NETMESSAGE:Hmm, jammed?",嗯，卡住了？,,,,,,
NETMESSAGE:Not on the example sign silly :p,不是示例标志上的那个，笨蛋 :p,,,,,,
"NETMESSAGE:CryoKeen: Took you long enough to find me... Listen, we have to help Nih, trust me on this one. \nBetter start pushing these artifacts!... Now press on, we will meet... later...",CryoKeen：你花了这么久才找到我……听着，我们必须帮助尼赫，在这件事上相信我。\n最好开始推动这些神器了！……继续前进吧，我们会见面的……之后……,,,,,,
