Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:You found a keycode !,你找到了密钥！,,,,,,
NETMESSAGE:You need a keycode !,需要密钥！,,,,,,
NETMESSAGE:Security fence opened,安全门打开了,,,,,,
"NETMESSAGE:... but something happened ...",然而，如果不出意外的话应该是出意外了,,,,,,
"NETMESSAGE:It was a good job, without incidents to manage...",只要不出意外，这就是一份不错的工作,,,,,,
NETMESSAGE:We are a mercenary team hired to assume the security in this complex,你们是承担此处安保任务的雇佣兵小队,,,,,,
NETMESSAGE:The NP Corporation is a gigantic corporation which lead to dominate the bio-technology business,NP公司是一家专注于引领生物科技产业前进的大型企业,,,,,,
NETMESSAGE:Welcome to the NP Corporation Research Facility,欢迎来到NP公司研究设施,,,,,,
NETMESSAGE:We can pass here now !,可以通过这里了！,,,,,,
NETMESSAGE:Security bay opened !,保安室的门打开了！,,,,,,
"NETMESSAGE:We need something...","需要用一些东西铺路才能通过这里...",,,,,,
NETMESSAGE:You found some planks !,你找到了一些木制板条！,,,,,,
"NETMESSAGE:What happened here ?\n\nWe have to find a way to access the labs\nand contact the security team over there !","发生甚么事了？\n\n我们得想办法进入实验室\n联系那儿的安保团队！",,,,,,
NETMESSAGE:What the hell was that ?!,那特么是啥玩意？！,,,,,,
NETMESSAGE:Nicolas (ReX) Poncin,尼古拉斯 · （雷克斯） · 庞辛,,,,,,
"NETMESSAGE:Benoit (D.G.F.) Hanikenne","贝诺特 · （D.G.F.） · 哈尼肯",,,,,,
NETMESSAGE:Emmanuel (Sautreel) Poncin,伊曼纽尔· （索特雷尔）· 庞辛,,,,,,
NETMESSAGE:Crampman,克拉普曼,,,,,,
